run_id,kernel,load_type,pred_class,latency_ms,timestamp_us
5,vanilla,combined,2,4.364,1783581007160630
6,vanilla,combined,1,5.627,1783581007166694
7,vanilla,combined,3,4.462,1783581007171575
8,vanilla,combined,5,4.600,1783581007176591
9,vanilla,combined,1,5.714,1783581007182747
10,vanilla,combined,5,3.822,1783581007187001
11,vanilla,combined,4,3.908,1783581007191308
12,vanilla,combined,3,5.448,1783581007197229
13,vanilla,combined,5,3.950,1783581007201634
14,vanilla,combined,2,4.400,1783581007206472
15,vanilla,combined,6,3.049,1783581007209948
16,vanilla,combined,6,4.978,1783581007215355
17,vanilla,combined,1,5.093,1783581007220853
18,vanilla,combined,3,3.147,1783581007224749
19,vanilla,combined,0,4.782,1783581007229978
20,vanilla,combined,4,3.673,1783581007234200
21,vanilla,combined,5,2.760,1783581007237365
22,vanilla,combined,3,4.835,1783581007242600
23,vanilla,combined,2,4.808,1783581007247804
24,vanilla,combined,3,4.607,1783581007252818
25,vanilla,combined,1,3.095,1783581007256373
26,vanilla,combined,3,4.765,1783581007261569
27,vanilla,combined,2,4.630,1783581007266616
28,vanilla,combined,1,3.011,1783581007270027
29,vanilla,combined,3,4.818,1783581007275239
30,vanilla,combined,5,4.234,1783581007279886
31,vanilla,combined,4,4.271,1783581007284626
32,vanilla,combined,6,4.110,1783581007289181
33,vanilla,combined,3,2.696,1783581007292327
34,vanilla,combined,3,4.649,1783581007297386
35,vanilla,combined,0,4.836,1783581007302796
36,vanilla,combined,5,4.720,1783581007307925
37,vanilla,combined,4,4.150,1783581007312481
38,vanilla,combined,2,4.726,1783581007317627
39,vanilla,combined,1,3.089,1783581007321287
40,vanilla,combined,0,4.715,1783581007326450
41,vanilla,combined,6,3.891,1783581007330789
42,vanilla,combined,6,3.226,1783581007334416
43,vanilla,combined,4,4.909,1783581007339746
44,vanilla,combined,1,4.930,1783581007345138
45,vanilla,combined,0,3.468,1783581007349021
46,vanilla,combined,0,4.689,1783581007354240
47,vanilla,combined,2,3.454,1783581007358103
48,vanilla,combined,4,2.542,1783581007361180
49,vanilla,combined,2,4.417,1783581007366090
50,vanilla,combined,4,4.470,1783581007370957
